Label,gaborenergy,gaborentropy,width,Height,area,perimeter,Extent,Solidity,Hull_Area,AspectRatio,Rectangularity,Circularity,EquiDimeter,RedMean,GreenMean,BlueMean,RedVar,BlueVar,GreenVar,contrast,correlation,inverse difference moments,entropy
1,0.734681956,0.782967536,256,29.96983337,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,29.96983337,36.55226135,23.77362061,38.64264231,31.08327385,45.91044507,129.7736841,0.961835641,0.694171308,5.099257907
1,0.537921659,1.314808669,256,35.56044006,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,35.56044006,55.27973938,34.95037842,41.60955407,40.55233786,61.52760558,147.7738747,0.973125667,0.640997399,6.016298332
1,0.582020599,1.27327209,256,26.41221619,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,26.41221619,47.0426178,42.39395142,38.08126634,58.52226746,63.88373185,196.7024552,0.965218478,0.714059229,5.004833578
1,0.4346738,1.6923448,256,48.43438721,33982,1810.406197,0.51852417,0.522599,65025,1,1.928550409,96.45019707,208.0077552,48.43438721,64.38253784,50.28785706,55.1804507,56.02382433,70.7144865,292.7338721,0.963871674,0.613211621,6.468217644
1,0.629025136,1.018490838,2,39.40591431,1,4.828427076,0.166666667,1,1,0.666666667,6,23.31370803,1.128379167,39.40591431,48.56556702,30.79830933,41.73395305,32.9811676,49.40606041,126.2329378,0.969823102,0.594892163,6.648577926
1,0.556173369,1.271997768,256,39.07861328,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,39.07861328,48.80886841,35.37379456,48.14565224,43.69836136,58.76828665,202.6985675,0.964283658,0.652963324,5.778518766
1,0.675235841,0.939467778,256,39.81893921,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,39.81893921,47.89982605,28.38737488,41.12543291,32.55112526,49.53638783,142.0178418,0.964255973,0.592871408,6.440543535
1,0.649647553,1.026431227,256,33.1880188,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,33.1880188,45.79476929,30.13310242,40.48747064,36.36169315,53.21266028,129.9216537,0.970615801,0.637515269,6.172949412
1,0.594523123,1.134960391,256,43.56951904,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,43.56951904,51.44410706,34.93920898,44.40251528,36.264523,51.56717297,192.7241724,0.957180227,0.599737367,6.470551106
1,0.666426238,0.937667528,256,36.6320343,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,36.6320343,42.88316345,27.3056488,42.74936707,32.53295461,49.00524974,132.1436745,0.967428362,0.664253647,5.654196875
1,0.631051132,1.003503113,256,41.13519287,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,41.13519287,48.71878052,32.50724792,44.24702542,35.43406261,51.16504384,122.588148,0.973013931,0.61888608,6.287072171
1,0.496098738,1.345783837,256,46.0644989,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,46.0644989,59.57730103,39.71920776,47.16479631,40.90508745,59.51317629,156.3417393,0.973070316,0.606893446,6.43948927
1,0.444494667,1.535308308,256,53.17446899,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,53.17446899,62.37663269,45.67068481,52.85301919,45.2168442,60.42830257,173.1836,0.973557461,0.583450649,6.749318583
1,0.636794605,1.00674226,256,33.86903381,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,33.86903381,47.92608643,30.30432129,39.20265032,35.27489758,53.76682773,121.8316788,0.972215672,0.641531122,5.79136217
1,0.455398929,1.580656558,256,24.44883728,37450.5,1813.33513,0.57144928,0.575940023,65025,1,1.749936583,87.80081159,218.3654221,24.44883728,64.60757446,52.62664795,30.53054642,64.83401527,77.93040018,199.5540368,0.972689818,0.67199153,5.542495131
1,0.538186898,1.281661835,256,37.16653442,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,37.16653442,51.11546326,34.66412354,45.13828451,42.2404642,60.52270149,148.9587223,0.973516009,0.67086535,5.556480985
1,0.530290734,1.354667698,256,41.14823914,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,41.14823914,52.02313232,35.06802368,48.11928088,41.86361581,60.40955559,186.7843621,0.96756441,0.642359315,5.829416484
1,0.458293105,1.612173741,256,41.30192566,37078,1819.979789,0.565765381,0.570211457,65025,1,1.767517126,89.33401027,217.2767264,41.30192566,63.46838379,42.60601807,50.13091212,51.22952076,74.51540922,217.9342355,0.973124984,0.65654049,5.735981604
1,0.525127732,1.299303778,256,45.48164368,33207.5,1783.879284,0.506706238,0.510688197,65025,1,1.973530076,95.82851166,205.6236907,45.48164368,52.85232544,35.85902405,48.62505961,39.16801112,55.73931219,164.4816023,0.96906133,0.613151114,6.288590819
1,0.584878076,1.087163688,256,38.91915894,35518.5,1752.423442,0.541969299,0.546228374,65025,1,1.845122964,86.46164452,212.6583146,38.91915894,49.02835083,31.05763245,44.04881868,35.02972966,54.27645206,101.6901186,0.978817427,0.646623053,5.649155592
1,0.663486139,0.91616877,256,37.56085205,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,37.56085205,44.35891724,28.1605072,42.89434455,32.4450347,49.03618602,98.62714323,0.975950976,0.636698629,6.040123455
1,0.413031847,1.681568563,256,50.81118774,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,50.81118774,70.12637329,48.81459045,50.03887643,48.0288149,66.6928207,206.4361036,0.971572437,0.560747763,7.08283869
1,0.61012737,1.06979718,256,35.08657837,65025,1020,0.992202759,1,65025,1,1.007858516,16,287.7366876,35.08657837,45.16738892,30.05340576,43.50484654,37.49960512,54.71999561,126.6881473,0.972975734,0.680881135,5.338492851
